crime_risk,lighting_score,traffic_level,time_risk,road_risk,distance,risk
77.4,71.61,55.93,51.81,66.08,1486.73,0
43.89,35.71,89.77,35.36,36.57,1991.7,0
85.86,85.19,27.81,7.51,22.71,101.14,0
69.74,24.1,2.6,99.1,8.36,504.94,0
9.42,53.84,77.57,17.48,10.18,1203.53,0
97.56,18.41,70.24,25.53,95.94,842.09,1
76.11,49.53,54.55,23.59,78.85,1282.36,0
78.61,15.25,81.53,90.79,24.5,1181.08,1
12.81,16.16,84.01,76.37,52.91,1580.22,0
45.04,61.22,58.79,45.73,71.42,160.39,0
37.08,26.38,96.59,95.54,35.25,892.42,1
92.68,17.24,71.97,5.28,44.0,1722.91,0
64.39,92.98,67.69,89.37,71.84,738.27,0
82.28,4.3,36.14,6.04,22.75,1017.5,0
44.34,56.51,0.23,39.11,52.63,62.73,0
22.72,54.83,24.09,5.4,21.01,463.86,0
55.46,25.06,76.39,99.9,0.31,938.04,0
6.38,45.28,70.99,91.44,69.03,809.96,0
82.76,8.77,33.1,58.48,70.73,1435.02,1
63.17,72.13,62.56,21.78,99.57,1231.52,0
75.81,22.17,19.53,27.68,18.1,1762.96,0
35.45,19.34,26.36,44.95,73.96,1712.45,0
97.07,31.49,94.74,32.28,94.8,497.62,1
89.31,90.24,41.32,2.13,64.46,54.92,0
77.84,79.65,24.5,65.63,96.31,1711.85,1
19.46,94.69,48.71,61.34,99.44,671.66,0
46.67,65.2,38.7,90.43,80.16,707.28,0
4.38,66.29,72.95,47.69,99.93,333.62,0
15.43,48.0,96.21,34.47,62.58,1392.15,0
68.3,90.52,59.17,51.15,49.71,574.62,0
74.48,51.09,59.11,19.47,91.76,369.95,0
96.75,35.51,36.48,62.55,83.1,1016.71,1
32.58,64.04,56.46,77.0,11.01,1505.82,0
37.05,54.61,31.93,15.35,30.27,553.81,0
46.96,12.4,0.11,31.84,26.06,1449.64,0
18.95,39.27,86.61,86.78,85.53,934.71,0
12.99,31.33,42.94,50.55,23.32,819.47,0
47.57,84.68,49.21,53.18,30.4,731.85,0
22.69,37.88,8.35,72.24,51.88,308.25,0
66.98,82.16,83.71,57.79,7.61,678.61,0
43.72,44.24,17.03,6.96,96.12,1760.92,0
83.27,75.35,41.06,80.4,49.11,222.29,0
70.03,13.53,84.03,92.28,19.04,1917.43,1
31.24,92.47,45.78,5.33,27.08,232.84,0
83.23,48.06,93.12,12.12,79.81,736.82,1
80.48,25.98,20.93,70.2,63.4,1220.49,0
38.75,24.15,71.52,60.45,46.46,1678.93,0
28.83,26.51,97.8,38.25,33.16,304.29,0
68.25,36.67,54.96,53.92,90.07,299.38,1
13.98,71.75,69.22,70.33,77.26,1264.19,0
19.99,94.96,39.32,50.45,71.81,599.64,0
0.74,66.9,75.13,14.02,44.6,1296.11,0
78.69,54.72,90.89,8.94,98.12,1644.75,1
66.49,44.86,70.31,43.89,71.01,172.2,0
70.52,82.82,93.59,92.29,42.36,1692.1,0
78.07,84.97,58.87,55.78,96.06,94.42,1
45.89,29.3,57.71,35.82,89.57,1799.68,1
56.87,95.34,30.46,90.87,74.0,1951.72,0
13.98,39.51,70.96,38.86,76.7,1341.56,0
11.45,80.01,88.2,50.91,42.36,1968.83,0
66.84,96.68,64.63,11.65,50.74,1647.54,0
47.11,70.37,23.3,73.74,19.15,107.84,0
56.52,16.16,54.41,70.03,59.54,27.55,0
76.5,58.61,75.59,79.42,36.99,61.18,0
63.47,11.88,93.94,32.52,34.74,914.78,0
55.36,78.91,15.66,43.61,94.82,1254.3,0
55.92,28.13,12.75,16.83,16.48,973.31,0
30.4,69.52,41.29,96.45,83.0,1360.72,0
3.08,91.01,12.56,8.61,28.15,910.21,0
43.67,18.1,98.04,64.9,2.87,104.28,0
21.46,39.29,42.43,70.53,4.05,467.81,0
40.85,64.71,53.36,15.77,42.92,1985.4,0
85.34,41.97,22.71,36.53,45.45,704.81,0
23.39,17.48,44.91,4.31,32.03,663.04,0
5.83,2.91,98.47,55.66,66.88,322.53,0
28.14,40.66,48.87,99.49,48.53,1974.54,0
29.36,64.92,0.88,42.99,7.41,476.31,0
66.19,57.4,24.25,99.0,34.81,1300.72,0
55.7,15.62,97.85,12.62,10.2,103.25,0
78.39,45.07,98.91,39.25,6.29,151.62,0
66.43,36.95,21.05,90.2,20.83,1439.17,0
40.64,27.42,61.53,87.67,70.06,1277.63,0
81.4,72.93,7.69,32.36,69.6,1366.72,0
16.7,30.97,57.74,67.86,86.14,477.32,0
2.27,54.01,12.59,88.62,75.64,1970.08,0
9.0,92.32,81.87,76.69,53.55,1125.58,0
72.24,53.93,93.96,62.85,31.26,1939.71,0
46.19,61.7,17.3,15.26,0.58,345.06,0
16.13,7.32,46.27,7.3,64.71,822.1,0
50.1,17.81,10.2,61.46,28.97,684.66,0
